"Reference","Value","Datasheet","Footprint","Qty","DNP"
"R209,R210,R211,R212,R213,R214,R236,R403,R404,R405,R504,R506,R508,R604,R606,R608,R704,R706,R708,R804,R806,R808,R904,R906,R908,R917,R918,R919,R920,R921,R922,R1101,R1103,R1104,R1105,R1107,R1108,R1109,R1110,R1112,R1113,R1114,R1115,R1117,R1118,R1119,R1120,R1122,R1123,R1124,R1125,R1127,R1128,R1129,R1130,R1132,R1133,R1134,R1135,R1137,R1138,R1139,R1140,R1142,R1143,R1144,R1145,R1147,R1148,R1149,R1150,R1152,R1153,R1154,R1155","10k","~","","75",""
"R215,R216,R217,R218,R219,R220,R320,R333,R413,R414,R415,R416,R513,R514,R515,R516,R613,R614,R615,R616,R713,R714,R715,R716,R813,R814,R815,R816,R909,R910","100","~","","30",""
"R221,R222,R223,R224,R225,R226","2.15k","~","","6",""
"R227,R229","47.5k","~","","2",""
"R228","332","~","","1",""
"R230,R232,R322,R323,R324,R325,R326,R327,R328,R329,R330,R331,R1007","0","~","","13",""
"R231","0","~","","1","DNP"
"R233,R913,R914,R916,R1102,R1106,R1111,R1116,R1121,R1126,R1131,R1136,R1141,R1146","100k","~","","14",""
"R234,R235,R237,R238,R239,R240,R241,R242,R243,R244,R245,R246,R247,R248","2k","~","","14",""
"R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R915","49.9","~","","19",""
"R319,R334","1k","~","","2",""
"R321,R332","47k","~","","2",""
"R401,R402,R502,R505,R602,R605,R702,R705,R802,R805,R902,R905","4.99k","~","","12",""
"R406,R407,R503,R507,R603,R607,R703,R707,R803,R807,R903,R907","10k","~","","12","DNP"
"R408,R501,R601,R701,R801,R901","10","~","","6",""
"R409,R410,R411,R412,R509,R510,R511,R512,R609,R610,R611,R612,R709,R710,R711,R712,R809,R810,R811,R812,R911,R912","499","~","","22",""
"R417,R517,R617,R717,R817","22k","~","","5",""
"R418","30k","~","","1",""
"R419,R420,R421,R422,R519,R520,R521,R522,R618,R619,R620,R621,R718,R719,R720,R721,R818,R819,R820,R821","3.3","~","","20",""
"R1001","365k","~","","1","DNP"
"R1002","86.6k","~","","1","DNP"
"R1003","150k","~","","1",""
"R1004","25.5k","~","","1",""
"R1005","215k","~","","1",""
"R1006","12.1k","~","","1",""
"R1008,R1009,R1010,R1151","360","~","","4",""
"SW202","VOL+","~","","1",""
"SW203","VOL-","~","","1",""
"SW208","LOAD","~","","1",""
"SW209","RESET","~","","1",""
"TP301","FAULT","~","","1",""
"TP302","CLIP","~","","1","DNP"
"U201","MSP430F5234IRGZ","http://www.ti.com/lit/ds/symlink/msp430f5234.pdf","Package_DFN_QFN:Texas_RGZ0048A_VQFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm","1",""
"U202","TCA6408ARSVR","","TCA6408ARSVR:QFN40P180X260X55-16N","1",""
"U203","24LC512","http://ww1.microchip.com/downloads/en/DeviceDoc/21754M.pdf","","1",""
"U204","TCA9548ARGER","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","Package_DFN_QFN:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm","1",""
"U301,U302,U303,U304,U305,U306,U307,U308,U309,U310,U403,U404","74LVC1G125","https://www.ti.com/lit/ds/symlink/sn74lvc1g125.pdf","","12",""
"U401,U501,U601,U701,U801,U901","PCM5252RHBR","","","6",""
"U402,U502,U602,U702,U802","TPA3244DDWR","TPA3255DDV","DDV0044D_N","5",""
"U902","NE5532","http://www.ti.com/lit/ds/symlink/ne5532.pdf","","1",""
"U1101,U1102,U1103,U1104,U1105,U1106,U1107,U1108,U1109,U1110","NE5532AD","","","10",""
"VR1001","TPS54340DDAR","","","1",""
"VR1002,VR1003","LM2940CT-12/NOPB","","","2",""
"VR1004,VR1005,VR1006","TLV1117-33IKVURG3","","","3",""
"Y201","32.768kHz","~","","1",""
